ID	SL	TL	BC_SL	BC_TL	temp	origin	F1_diet	sex	weight	family	sample_type	Comments
AS02429	4.514	5.121	1.26117E-09	8.63761E-10	warm	hs	bw	m	1.16	9	cross	1 crushed testi/1 viable test
AS02430	5.018	4.995	1.10799E-09	1.12337E-09	warm	hs	bw	f	1.40	9	cross	
AS02436	4.210	4.548	1.17933E-09	9.35452E-10	warm	hs	cl	f	0.88	35	cross	
AS02437	4.793	5.357	1.18973E-09	8.52131E-10	warm	hs	bw	m	1.31	21	cross	
AS02438	4.457	5.667	1.24241E-09	6.04412E-10	warm	hs	bw	f	1.10	21	cross	
AS02439	4.632	4.960	9.4585E-10	7.70341E-10	warm	hs	bw	f	0.94	21	cross	
AS02440	4.647	5.282	1.07623E-09	7.32873E-10	warm	hs	bw	m	1.08	21	cross	
AS02441	4.575	5.189	9.92088E-10	6.79943E-10	warm	hs	bw	f	0.95	21	cross	
AS02451	4.420	5.117	1.3781E-09	8.88179E-10	warm	hs	bw	m	1.19	23	cross	
AS02452	4.503	5.092	1.24853E-09	8.63455E-10	warm	hs	bw	f	1.14	23	cross	
AS02453	4.845	5.460	1.17821E-09	8.23241E-10	warm	hs	bw	f	1.34	23	cross	
AS02456	4.840	5.546	1.27889E-09	8.50019E-10	warm	hs	bw	m	1.45	20	cross	
AS02458	4.932	5.512	1.06694E-09	7.64333E-10	warm	hs	bw	f	1.28	20	cross	
AS02459	4.319	4.881	1.2164E-09	8.42752E-10	warm	hs	cl	m	0.98	11	cross	
AS02460	4.265	4.833	1.21163E-09	8.32679E-10	warm	hs	cl	f	0.94	11	cross	
AS02462	4.625	5.235	1.35447E-09	9.34017E-10	warm	hs	bw	f	1.34	23	cross	
AS02470	4.877	5.554	1.17241E-09	7.93819E-10	warm	hs	cl	f	1.36	33	cross	
AS02471	4.944	5.547	1.24124E-09	8.78854E-10	warm	hs	bw	m	1.5	20	cross	
AS02472	4.758	5.339	1.24403E-09	8.80491E-10	warm	hs	bw	f	1.34	20	cross	
AS02474	5.289	5.947	1.07467E-09	7.55968E-10	warm	hs	bw	m	1.59	20	cross	
AS02475	4.649	5.262	1.26394E-09	8.71668E-10	warm	hs	bw	f	1.27	20	cross	
AS02477	4.726	5.349	1.17474E-09	8.10222E-10	warm	hs	bw	f	1.24	9	basic	
AS02478	4.864	5.517	1.40778E-09	9.64731E-10	warm	hs	bw	m	1.62	23	cross	
AS02479	4.830	5.476	1.28685E-09	8.83035E-10	warm	hs	bw	f	1.45	23	cross	
AS02482	4.404	4.958	1.31122E-09	9.18964E-10	warm	hs	cl	m	1.12	33	cross	
AS02485	5.325	5.979	1.23184E-09	8.70216E-10	warm	hs	bw	m	1.86	22	cross	
AS02486	4.972	5.555	1.16344E-09	8.34226E-10	warm	hs	bw	f	1.43	22	cross	
AS02495	4.196	4.765	1.27239E-09	8.68839E-10	warm	hs	cl	m	0.94	20	cross	
AS02496	4.168	4.770	1.1601E-09	7.7397E-10	warm	hs	cl	f	0.84	20	cross	
AS02508	4.287	4.887	1.40884E-09	9.51034E-10	warm	hs	cl	m	1.11	20	basic	
AS02510	4.211	4.800	1.3258E-09	8.95182E-10	warm	hs	bw	m	0.99	21	basic	
AS02511	4.508	5.117	1.22255E-09	8.35934E-10	warm	hs	cl	m	1.12	35	basic	
AS02513	4.259	4.839	1.15204E-09	7.85458E-10	warm	hs	cl	m	0.89	23	basic	Trial cross
AS02519	4.470	5.053	1.16442E-09	8.06094E-10	warm	hs	cl	m	1.04	9	basic	Trial cross
AS02527	4.027	4.665	1.39347E-09	8.96368E-10	warm	cs	cl	m	0.91	18	cross	
AS02528	4.614	5.245	1.21147E-09	8.24728E-10	warm	cs	cl	f	1.19	18	cross	
AS02531	5.002	5.595	1.01478E-09	7.25109E-10	warm	cs	bw	m	1.27	8	basic	
AS02532	4.974	5.593	1.04014E-09	7.31603E-10	warm	cs	bw	m	1.28	29	basic	
AS02533	4.485	5.091	1.30796E-09	8.94278E-10	warm	cs	cl	m	1.18	2	basic	
AS02534	4.625	5.213	1.23317E-09	8.61185E-10	warm	cs	bw	m	1.22	13	basic	
AS02535	4.613	5.270	1.28357E-09	8.60872E-10	warm	cs	bw	m	1.26	7	basic	
AS02536	4.441	5.071	1.1988E-09	8.05209E-10	warm	hs	cl	m	1.05	21	basic	
AS02537	5.020	5.607	1.28057E-09	9.19017E-10	warm	cs	bw	m	1.62	27	basic	
AS02538	4.267	4.835	1.18419E-09	8.13951E-10	warm	hs	cl	m	0.92	23	basic	
AS02539	4.265	4.856	1.35342E-09	9.16966E-10	warm	hs	cl	m	1.05	9	basic	
AS02540	4.463	5.035	1.12491E-09	7.83432E-10	warm	cs	bw	m	1.00	29	basic	
AS02541	4.540	5.120	1.14345E-09	7.97212E-10	warm	cs	bw	m	1.07	29	cross	no testis pic
AS02542	4.285	4.827	1.09306E-09	7.64657E-10	warm	cs	bw	m	0.86	29	basic	no testis pic
AS02543	5.048	5.655	1.01061E-09	7.18862E-10	warm	cs	bw	f	1.30	29	cross	
AS02545	4.671	5.253	1.13823E-09	8.00269E-10	warm	hs	cl	m	1.16	22	cross	
AS02546	4.644	5.263	1.12824E-09	7.75137E-10	warm	hs	cl	m	1.13	22	cross	
AS02547	4.321	4.923	1.01639E-09	6.87265E-10	warm	hs	cl	f	0.82	36	cross	
AS02548	4.609	5.258	1.052E-09	7.08558E-10	warm	hs	cl	f	1.03	36	cross	
AS02549	4.523	5.115	1.25366E-09	8.66804E-10	warm	cs	cl	m	1.16	2	cross	
AS02550	4.529	5.109	1.18409E-09	8.24869E-10	warm	cs	cl	m	1.10	2	cross	
AS02551	4.483	5.153	1.10993E-09	7.30835E-10	warm	cs	cl	f	1.00	2	cross	overripe eggs
AS02552	4.661	5.247	1.27395E-09	8.9301E-10	warm	cs	cl	m	1.29	2	cross	
AS02553	5.058	5.669	9.7372E-10	6.91594E-10	warm	cs	cl	f	1.26	13	cross	
AS02554	4.836	5.445	1.17596E-09	8.23869E-10	warm	hs	bw	m	1.33	21	cross	
AS02555	4.752	5.363	1.15556E-09	8.03893E-10	warm	hs	bw	f	1.24	21	cross	
AS02556	4.435	5.062	1.1005E-09	7.40125E-10	warm	cs	cl	m	0.96	8	basic	
AS02557	4.288	4.841	1.23029E-09	8.55001E-10	warm	cs	cl	m	0.97	8	cross	
AS02558	4.423	4.983	9.93911E-10	6.95066E-10	warm	cs	cl	f	0.86	8	cross	
AS02560	5.128	5.849	1.18652E-09	7.99604E-10	warm	hs	bw	m	1.60	20	basic	
AS02561	4.716	5.269	1.21083E-09	8.68199E-10	warm	hs	bw	m	1.27	20	cross	fed in the morning
AS02562	4.782	5.414	1.24368E-09	8.57007E-10	warm	hs	bw	m	1.36	20	cross	fed in the morning
AS02563	4.528	5.111	1.41108E-09	9.81191E-10	warm	hs	bw	f	1.31	20	cross	
AS02564	4.891	5.514	1.23075E-09	8.58939E-10	warm	hs	bw	f	1.44	20	cross	
AS02565	5.121	5.726	1.14672E-09	8.20289E-10	warm	cs	bw	m	1.54	5	cross	
AS02566	4.795	5.385	1.18824E-09	8.38908E-10	warm	cs	bw	f	1.31	5	cross	
AS02567	4.260	4.793	1.42287E-09	9.99011E-10	warm	hs	cl	m	1.10	11	cross	
AS02568	4.645	5.274	1.06764E-09	7.29396E-10	warm	hs	cl	f	1.07	36	cross	
AS02569	4.609	5.269	1.22563E-09	8.20345E-10	warm	cs	cl	m	1.20	4	cross	
AS02570	5.032	5.704	1.1851E-09	8.13651E-10	warm	cs	cl	f	1.51	4	cross	stripped too early
AS02571	4.307	4.890	1.2266E-09	8.38107E-10	warm	hs	cl	m	0.98	11	cross	
AS02572	4.496	5.079	1.15534E-09	8.0141E-10	warm	hs	cl	f	1.05	11	cross	
AS02573	4.748	5.394	1.36402E-09	9.30294E-10	warm	hs	cl	m	1.46	20	cross	
AS02574	4.435	5.001	1.13489E-09	7.91525E-10	warm	hs	cl	f	0.99	20	cross	stripped too early
AS02576	4.319	4.876	1.24122E-09	8.62599E-10	warm	hs	cl	m	1.00	21	cross	
AS02577	4.890	5.492	1.13743E-09	8.02897E-10	warm	hs	cl	f	1.33	21	cross	
AS02579	4.701	5.319	1.21283E-09	8.37299E-10	warm	hs	bw	m	1.26	23	cross	
AS02580	4.958	5.594	1.18973E-09	8.28325E-10	warm	hs	bw	f	1.45	23	cross	
AS02581	4.834	5.417	1.18627E-09	8.43001E-10	warm	cs	bw	m	1.34	5	cross	
AS02582	4.896	5.507	1.38888E-09	9.75983E-10	warm	cs	bw	f	1.63	5	cross	overripe eggs
AS02583	4.138	4.767	1.19963E-09	7.84664E-10	warm	hs	cl	m	0.85	11	cross	
AS02584	4.119	4.711	1.18769E-09	7.93851E-10	warm	cs	cl	m	0.83	18	basic	
AS02585	4.283	4.819	1.13278E-09	7.95278E-10	warm	cs	cl	f	0.89	18	cross	
AS02586	4.152	4.673	1.07577E-09	7.54577E-10	warm	cs	cl	m	0.77	8	basic	
AS02588	4.123	4.681	1.22704E-09	8.3846E-10	warm	hs	cl	f	0.86	11	cross	overripe eggs
AS02590	4.845	5.452	1.20459E-09	8.45382E-10	warm	hs	bw	m	1.37	21	cross	
AS02591	4.641	5.239	1.03039E-09	7.16295E-10	warm	hs	bw	f	1.03	21	cross	
AS02592	4.709	5.292	1.06301E-09	7.48968E-10	warm	cs	bw	m	1.11	18	cross	
AS02593	4.975	5.493	1.11261E-09	8.26593E-10	warm	cs	bw	f	1.37	18	cross	
AS02594	3.911	4.447	1.22028E-09	8.30083E-10	warm	hs	cl	m	0.73	11	cross	
AS02595	4.689	5.336	9.21474E-10	6.25282E-10	warm	hs	cl	f	0.95	36	cross	
AS02596	4.473	5.144	1.2403E-09	8.15493E-10	warm	cs	cl	m	1.11	25	cross	
AS02597	4.737	5.354	1.25124E-09	8.66596E-10	warm	hs	cl	m	1.33	33	cross	
AS02598	5.024	5.672	1.02517E-09	7.12418E-10	warm	hs	cl	f	1.30	33	cross	
AS02599	4.508	5.108	1.14614E-09	7.87837E-10	warm	cs	bw	m	1.05	5	cross	
AS02600	4.659	5.208	1.13716E-09	8.14113E-10	warm	cs	bw	f	1.15	5	cross	
AS02602	4.381	4.943	1.10602E-09	7.70036E-10	warm	hs	bw	f	0.93	20	cross	
AS02603	4.830	5.422	1.21585E-09	8.59492E-10	warm	cs	bw	m	1.37	13	cross	
AS02604	4.845	5.485	1.05512E-09	7.27196E-10	warm	cs	bw	f	1.2	13	cross	
AS02605	4.532	5.151	1.3214E-09	8.99975E-10	warm	cs	cl	m	1.23	17	cross	
AS02606	4.691	5.328	1.23998E-09	8.46286E-10	warm	cs	bw	m	1.28	25	cross	
AS02607	4.932	5.551	1.25032E-09	8.76956E-10	warm	cs	bw	f	1.50	25	cross	
AS02608	4.826	5.453	9.96451E-10	6.90735E-10	warm	cs	cl	f	1.12	4	cross	
AS02609	3.907	4.436	1.25757E-09	8.59185E-10	warm	cs	cl	m	0.75	14	cross	
AS02610	4.912	5.517	1.03784E-09	7.32481E-10	warm	cs	cl	f	1.23	14	cross	
AS02611	4.892	5.505	1.18729E-09	8.33188E-10	warm	cs	bw	m	1.39	2	cross	
AS02612	5.076	5.712	1.19278E-09	8.37067E-10	warm	cs	bw	f	1.56	2	cross	eggs overripe
AS02615	4.455	5.117	1.08575E-09	7.16514E-10	warm	hs	cl	m	0.96	9	cross	
AS02616	4.518	5.120	1.03011E-09	7.07805E-10	warm	hs	cl	f	0.95	9	cross	
AS02617	4.425	5.148	1.0849E-09	6.88989E-10	warm	hs	cl	f	0.94	9	cross	
AS02619	5.028	5.668	1.04632E-09	7.30402E-10	warm	cs	bw	f	1.33	7	cross	
AS02621	4.468	5.059	1.05387E-09	7.25995E-10	warm	cs	bw	m	0.94	14	cross	
AS02622	4.940	5.624	9.45636E-10	6.40868E-10	warm	cs	bw	f	1.14	7	cross	
AS02624	5.017	5.606	9.34436E-10	6.69765E-10	warm	cs	bw	m	1.18	8	cross	small testis
AS02625	4.542	5.148	1.03521E-09	7.10978E-10	warm	cs	bw	f	0.97	8	cross	
AS02626	4.254	4.812	1.20807E-09	8.34653E-10	warm	cs	cl	m	0.93	14	cross	
AS02627	4.224	4.856	1.08803E-09	7.16107E-10	warm	cs	cl	f	0.82	14	cross	
AS02628	4.249	4.891	9.64654E-10	6.32468E-10	warm	cs	cl	f	0.74	14	cross	
AS02629	4.413	5.044	1.15195E-09	7.71454E-10	warm	hs	cl	m	0.99	21	cross	
AS02630	4.582	5.187	1.18506E-09	8.16876E-10	warm	hs	cl	f	1.14	21	cross	
AS02631	4.779	5.384	1.17273E-09	8.20153E-10	warm	hs	bw	m	1.28	9	cross	
AS02632	4.594	5.232	1.1758E-09	7.95979E-10	warm	hs	bw	m	1.14	9	cross	1 testis very pale and small
AS02633	4.740	5.366	9.95339E-10	6.86047E-10	warm	hs	bw	f	1.06	9	cross	
AS02634	4.968	5.604	9.62359E-10	6.70483E-10	warm	hs	bw	f	1.18	9	cross	
AS02638	4.652	5.283	1.04297E-09	7.12111E-10	warm	hs	cl	f	1.05	23	cross	
AS02639	4.917	5.619	1.06832E-09	7.15858E-10	warm	hs	cl	f	1.27	23	basic	
AS02640	4.334	5.004	1.24067E-09	8.06064E-10	warm	hs	cl	m	1.01	23	cross	
AS02641	4.067	4.731	1.2487E-09	7.93269E-10	warm	hs	cl	m	0.84	23	cross	
AS02642	4.547	5.177	1.10626E-09	7.49547E-10	warm	hs	cl	f	1.04	23	cross	
AS02643	4.405	5.024	1.18164E-09	7.96476E-10	warm	hs	cl	f	1.01	23	cross	
AS02644	5.009	5.580	1.00258E-09	7.25217E-10	warm	cs	bw	m	1.26	14	cross	
AS02645	4.471	5.037	1.1077E-09	7.74675E-10	warm	cs	bw	m	0.99	14	cross	
AS02646	4.513	5.127	1.03354E-09	7.0491E-10	warm	cs	bw	f	0.95	14	cross	
AS02647	4.747	5.332	1.01899E-09	7.19045E-10	warm	cs	bw	f	1.09	14	cross	
AS02648	4.510	5.080	1.07921E-09	7.55169E-10	warm	hs	cl	m	0.99	22	cross	
AS02649	4.827	5.458	8.98027E-10	6.21185E-10	warm	hs	cl	f	1.01	36	cross	
AS02650	4.228	4.791	1.29665E-09	8.91143E-10	warm	cs	cl	m	0.98	5	cross	very pale
AS02651	4.545	5.114	1.00121E-09	7.02823E-10	warm	cs	cl	f	0.94	5	cross	
AS02652	4.603	5.230	1.06638E-09	7.2699E-10	warm	cs	bw	m	1.04	14	cross	
AS02653	4.794	5.426	9.07624E-10	6.2598E-10	warm	cs	bw	f	1.00	7	cross	
AS02654	4.658	5.252	1.20715E-09	8.42143E-10	warm	cs	cl	m	1.22	3	cross	
AS02655	4.403	4.950	9.37225E-10	6.5959E-10	warm	cs	cl	f	0.80	8	cross	
AS02657	5.116	5.778	6.27318E-10	4.35458E-10	warm	cs	cl	m	0.84	4	cross	
AS02658	4.487	5.071	1.273E-09	8.81895E-10	warm	cs	cl	f	1.15	13	cross	
AS02659	4.973	5.622	9.35066E-10	6.4718E-10	warm	cs	bw	m	1.15	25	cross	
AS02660	4.803	5.364	1.29062E-09	9.26552E-10	warm	cs	bw	f	1.43	25	cross	
AS02661	4.917	5.494	1.14403E-09	8.20112E-10	warm	cs	bw	m	1.36	13	basic	
AS02662	4.949	5.568	1.10548E-09	7.7626E-10	warm	cs	bw	m	1.34	13	cross	
AS02663	4.377	4.974	1.6457E-09	1.1214E-09	warm	cs	bw	f	1.38	13	cross	
AS02664	4.276	4.861	1.12556E-09	7.66136E-10	warm	hs	cl	m	0.88	21	cross	
AS02665	4.290	4.852	1.05125E-09	7.26634E-10	warm	hs	cl	f	0.83	21	cross	
AS02666	4.920	5.530	7.80886E-10	5.4993E-10	warm	hs	cl	m	0.93	21	cross	
AS02667	4.506	5.123	1.31162E-09	8.925E-10	warm	hs	cl	f	1.20	35	cross	
AS02670	4.436	4.998	1.15704E-09	8.0897E-10	warm	cs	bw	f	1.01	14	cross	
AS02671	4.051	4.610	1.36885E-09	9.28835E-10	warm	cs	cl	m	0.91	3	cross	
AS02672	4.824	5.419	1.04223E-09	7.35239E-10	warm	cs	cl	f	1.17	3	cross	beginning of reabsorbtion
AS02675	4.771	5.366	1.10498E-09	7.76657E-10	warm	cs	bw	m	1.20	18	cross	
AS02676	4.414	4.975	1.18605E-09	8.28363E-10	warm	cs	bw	f	1.02	18	cross	
AS02677	4.068	4.675	1.29234E-09	8.5148E-10	warm	cs	cl	m	0.87	18	cross	
AS02678	4.537	5.193	1.13501E-09	7.56922E-10	warm	cs	cl	f	1.06	18	cross	taken too early
AS02679	4.665	5.244	1.20172E-09	8.46003E-10	warm	cs	bw	m	1.22	2	cross	
AS02680	4.479	5.064	1.1908E-09	8.23953E-10	warm	cs	bw	f	1.07	2	cross	
AS02681	4.050	4.568	1.03869E-09	7.23887E-10	warm	cs	cl	m	0.69	8	cross	
AS02682	4.710	5.237	9.57056E-10	6.96229E-10	warm	cs	cl	f	1.00	8	cross	
AS02683	4.585	5.223	1.03749E-09	7.01843E-10	warm	cs	bw	m	1.00	18	cross	
AS02684	4.745	5.342	1.06708E-09	7.47813E-10	warm	cs	bw	f	1.14	18	cross	
AS02685	4.838	5.428	1.11269E-09	7.87864E-10	warm	hs	bw	m	1.26	22	cross	
AS02686	5.399	6.023	9.65836E-10	6.95673E-10	warm	hs	bw	f	1.52	22	cross	poor egg quality
AS02688	4.425	4.980	1.0849E-09	7.61097E-10	warm	cs	bw	f	0.94	8	cross	
AS02689	4.710	5.380	1.06233E-09	7.12814E-10	warm	hs	cl	m	1.11	20	cross	
AS02691	5.253	5.866	9.45145E-10	6.78726E-10	warm	hs	cl	f	1.37	33	cross	
AS02693	4.567	5.167	1.20727E-09	8.33648E-10	warm	cs	bw	m	1.15	2	cross	
AS02694	4.982	5.613	9.62356E-10	6.72918E-10	warm	cs	bw	f	1.19	7	cross	
AS02695	5.100	5.780	1.04786E-09	7.19832E-10	warm	cs	bw	f	1.39	7	cross	
AS02696	4.590	5.194	1.25126E-09	8.63534E-10	warm	cs	bw	m	1.21	13	cross	
AS02697	5.021	5.696	1.15341E-09	7.90029E-10	warm	cs	bw	f	1.46	13	cross	poor egg quality
AS02700	4.202	4.764	1.13217E-09	7.76898E-10	warm	cs	cl	m	0.84	14	morph	
AS02705	4.161	4.742	1.22149E-09	8.25274E-10	warm	hs	cl	m	0.88	23	morph	
AS02720	4.623	5.184	1.11332E-09	7.89583E-10	warm	cs	cl	f	1.10	2	morph	
AS02720	4.636	5.200	1.10398E-09	7.82317E-10	warm	cs	cl	f	1.10	2	morph	
AS02774	4.127	4.607	9.95852E-10	7.15885E-10	warm	hs	bw	f	0.70	22	morph	
AS02775	4.523	5.127	1.01589E-09	6.9749E-10	warm	hs	bw	m	0.94	22	morph	
AS02776	4.272	4.853	1.03894E-09	7.08686E-10	warm	hs	bw	m	0.81	22	morph	
AS02777	4.929	5.540	1.11064E-09	7.82208E-10	warm	hs	bw	f	1.33	22	morph	gravid
AS02778	5.053	5.657	1.05412E-09	7.51243E-10	warm	hs	bw	f	1.36	22	morph	very pale
AS02779	4.296	4.887	1.23604E-09	8.39651E-10	warm	cs	cl	m	0.98	3	morph	
AS02780	4.171	4.657	1.10248E-09	7.92084E-10	warm	cs	cl	f	0.80	3	morph	
AS02781	4.205	4.758	1.0356E-09	7.14854E-10	warm	hs	cl	f	0.77	11	morph	
AS02782	3.804	4.383	1.16268E-09	7.60091E-10	warm	hs	cl	m	0.64	11	morph	
AS02785	4.252	4.791	1.06668E-09	7.45651E-10	warm	cs	cl	m	0.82	27	morph	
AS02786	4.049	4.584	1.22023E-09	8.40913E-10	warm	cs	cl	m	0.81	27	morph	
AS02787	4.472	5.073	9.72778E-10	6.66384E-10	warm	cs	cl	f	0.87	27	morph	
